bucket,sentiment,score,sentence
commerce,positive,0.9722912311553955,"it means that people in poorer countries are not shipping off their money to a rich country, but are keeping their money in the local economy."
commerce,negative,0.9919618964195251,"moreover, as i said above, restricted-distribution software licenses often force people to choose between violating the law and paying money they may not have."
commerce,negative,0.9863643050193787,"amazon has obtained a us patent (5,960,411) on an important and obvious idea for e-commerce: an idea sometimes known as one-click purchasing."
commerce,negative,0.9986029267311096,this is an attack against the world wide web and against e-commerce in general.
commerce,negative,0.9087057113647461,the idea patented here is just that a company can give you something which you can subsequently show them to identify yourself for credit.
commerce,negative,0.9987226128578186,today amazon is suing one large company.
commerce,negative,0.9983661770820618,"if this were just a dispute between two companies, it would not be an important public issue."
commerce,positive,0.9966734647750854,"although only one company is being sued today, the issue affects the whole internet."
commerce,positive,0.9950266480445862,but we do not have to wait passively for the court to decide the freedom of e-commerce.
commerce,positive,0.9909579753875732,there is something we can do right now: we can refuse to do business with amazon.
commerce,negative,0.9971355199813843,"people have pointed out that the problem of software patents is much bigger than amazon, that other companies might have acted just the same, and that boycotting amazon won't directly change patent law."
commerce,negative,0.9967740178108215,"and even if they do not, the next company which has an outrageous software patent and considers suing someone will realize there can be a price to pay."
commerce,negative,0.9741562008857727,"in this section, we list updates and links about issues related to amazon.com, their business practices, and stories related to the boycott."
commerce,negative,0.9942756295204163,"tim o'reilly has sent amazon an open letter disapproving of the use of this patent, stating the position about as forcefully as possible given an unwillingness to stop doing business with them."
commerce,negative,0.9791809320449829,"my father is a stock broker, and tonight he showed me a news item which came over his company's internal wire service describing (fairly accurately) the boycott and your roll in it."
commerce,negative,0.9959177374839783,"we singled out amazon for a boycott, among the thousands of companies that have obtained software patents, because amazon is among the few that have gone so far as to actually sue someone."
commerce,positive,0.8252792358398438,"bezos's letter reaffirms amazon's continuing intention to engage in unrestricted patent warfare, saying that the decision of when and where to attack will be decided by ""business reasons."""
commerce,negative,0.9983166456222534,"many android devices are ""tyrants"": they are designed so users cannot install and run their own modified software, only the versions approved by some company."
community,negative,0.9970744848251343,"microsoft has also intentionally refused to release the specification of the .doc format to the community, making microsoft word the only application that can reliably open this format."
commerce,negative,0.997686505317688,"after we released a component that could run on some nonfree systems, users ported it to other nonfree systems; those ports were no worse, ethically, than the platform-specific code we needed to develop these components, so we incorporated their patches."
commerce,positive,0.990565299987793,we must not judge all of a company by just part of what it does.
commerce,negative,0.991288423538208,when a company asks for your copyright.
commerce,negative,0.9961501359939575,companies that develop free software and release it under the gnu gpl sometimes distribute some copies of the code in other ways.
commerce,negative,0.9746432304382324,companies normally do these things using code they developed.
commerce,negative,0.9994588494300842,"but what happens when you publish a modified version of that free program, and the company wants to include your changes in its version?"
commerce,negative,0.9981233477592468,"if the company receives a copy, it will be able to use those changes under the gpl; it won't be allowed to include your changes in that program and sell exceptions for it."
commerce,negative,0.9992176294326782,"however, if the company intends to sell exceptions, it will probably decide not to use your changes."
commerce,negative,0.7011297345161438,"suppose, though, that you're not opposed to selling exceptions and you're willing to let the company do so while including your changes in the program."
commerce,negative,0.9871006011962891,"the company will probably invite you to assign or license your copyright to the company, by signing a copyright assignment contract or a contributor license agreement."
commerce,negative,0.9961327314376831,the company's proposed contract may not include such a commitment.
commerce,negative,0.9993104934692383,it might instead let the company use your changes any way it likes.
commerce,negative,0.9965997338294983,"if you sign that, the company could do various things with your code."
commerce,negative,0.9959741234779358,"if your contributions are smaller, you could accept a weaker condition, that the company make your contributions available in a free software release as well as possibly in nonfree programs."
commerce,negative,0.9995235204696655,this would allow the company to use your contributions in modified software that's only available under a proprietary license.
commerce,negative,0.9976167678833008,"to allow selling exceptions for the program that contains your code, but refuse to let the company release purely proprietary versions containing your code, you can insist on a condition more or less like this: any program based on (as defined in gnu general public license version 3) hacker's code that foo distributes shall be made available by foo under (a) the ""gnu general public license (gpl), version 2 or later,"" or (b) the licensing in (a), above, but with ""2"" replaced by any higher existing gpl version number."
commerce,negative,0.9864711165428162,"when a company says which of these conditions it will accept, that will show you how far it plans to depart from the principles of free software."
community,positive,0.9990443587303162,then you can respond to ensure your work will contribute to the free software community and not be diverted into proprietary software.
commerce,negative,0.9445326328277588,"these are the megacorporations, which typically have thousands of patents each, and cross-license with each other."
commerce,negative,0.9923521876335144,that's why it is generally the megacorporations that lobby for software patents.
commerce,negative,0.7040037512779236,today's microsoft is a megacorporation with thousands of patents.
commerce,negative,0.8932086229324341,"stallman the case against intellectual property, by boldrin and levine, argues on economic grounds that authors can make money by selling their work even in a world where everyone can copy."
commerce,positive,0.6971750259399414,the obvious response is that today there are companies that sell thousands of copies a month.
community,positive,0.9955946803092957,"we recommend copyleft, because it protects freedom for all users, but non-copylefted software can still be free software, and useful to the free software community."
commerce,negative,0.9930887818336487,"with a plan they call ""trusted computing,"" large media corporations (including the movie companies and record companies), together with computer companies such as microsoft and intel, are planning to make your computer obey them instead of you."
commerce,negative,0.998694121837616,it's not surprising that clever businessmen find ways to use their control to put you at a disadvantage.
commerce,negative,0.9968552589416504,but microsoft is not alone: the kazaa music-sharing software is designed so that kazaa's business partner can rent out the use of your computer to its clients.
commerce,negative,0.9984673857688904,"of course, hollywood and the record companies plan to use treacherous computing for digital restrictions management (drm), so that downloaded videos and music can be played only on one specified computer."
commerce,negative,0.9969661831855774,"sharing will be entirely impossible, at least using the authorized files that you would get from those companies."
commerce,negative,0.9996892213821411,"there are plans to use the same facility for email and documents—resulting in email that disappears in two weeks, or documents that can only be read on the computers in one company."
commerce,negative,0.9990072846412659,"imagine if you get an email from your boss stating a policy that is illegal or morally outrageous, such as to shred your company's audit documents, or to allow a dangerous threat to your country to move forward unchecked."
community,negative,0.999550998210907,"if word encrypts documents using treacherous computing when saving them, the free software community won't have a chance of developing software to read them—and if we could, such programs might even be forbidden by the digital millennium copyright act."
community,negative,0.9982940554618835,"if a free program has a malicious feature, other developers in the community will take it out, and you can use the corrected version."
commerce,negative,0.9980746507644653,some versions of treacherous computing would require the operating system to be specifically authorized by a particular company.
commerce,negative,0.9985058307647705,"nowadays, the companies that want to impose drm on the world want it to be enforced by programs that talk to web servers to get copies."
commerce,negative,0.9994019269943237,"the software it would attest to would include the web browser (to prove it implements drm and gives you no way to extract the unencrypted data), the kernel (to prove it gives no way to patch the running browser), the boot software (to prove it gives no way to patch the kernel when starting it), and anything else relating to the security of the drm companies' dominion over you."
commerce,negative,0.9911984801292419,"""remote attestation"" is a plan to force your computer to tell the truth to a company when its web server asks the computer whether you have liberated it."
commerce,negative,0.992989182472229,"thus, companies implement drm using other methods."
commerce,negative,0.987653911113739,"but proprietary software companies typically use the term ""free software"" to refer to price."
commerce,negative,0.9986649751663208,"because of this potential confusion, when a software company says its product is free software, always check the actual distribution terms to see whether users really have all the freedoms that free software implies."
community,positive,0.9712780714035034,"two different copyleft licenses are usually ""incompatible,"" which means it is illegal to merge the code using one license with the code using the other license; therefore, it is good for the community if people use a single copyleft license."
commerce,negative,0.9966045618057251,"a software company can compile the program, with or without modifications, and distribute the executable file as a proprietary software product."
commerce,negative,0.9923447966575623,"(some of these volunteers are paid by companies or universities, but they are volunteers for us.) some contributed software is copyrighted by the free software foundation; some is copyrighted by the contributors who wrote it."
commerce,negative,0.9968839287757874,"in the past we subdivided nonfree software into ""semifree software,"" which could be modified and redistributed noncommercially, and ""proprietary software,"" which could not be."
commerce,negative,0.9577143788337708,private or custom software is software developed for one user (typically an organization or company).
commerce,negative,0.9878688454627991,commercial software.
commerce,negative,0.9994795918464661,"""commercial"" and ""proprietary"" are not the same!"
commerce,negative,0.9638046622276306,commercial software is software developed by a business as part of its business.
commerce,negative,0.9230943322181702,"most commercial software is proprietary, but there is commercial free software, and there is noncommercial nonfree software."
commerce,negative,0.9924235343933105,"for example, gnu ada is developed by a company."
commerce,negative,0.9990932941436768,"when their salesmen speak to prospective customers, sometimes the customers say, ""we would feel safer with a commercial compiler."""
commerce,negative,0.998664379119873,"the salesmen reply, ""gnu ada is a commercial compiler; it happens to be free software."""
commerce,negative,0.9955224990844727,"for the gnu project, the priorities are in the other order: the important thing is that gnu ada is free software; that it is commercial is just a detail."
commerce,positive,0.9986497759819031,"however, the additional development of gnu ada that results from its being commercial is definitely beneficial."
commerce,positive,0.9383361339569092,please help spread the awareness that free commercial software is possible.
commerce,negative,0.9934079647064209,"you can do this by making an effort not to say ""commercial"" when you mean ""proprietary."""
community,positive,0.9940609335899353,"as part of the 25th anniversary of the gnu system, i have written this article on how our community can avoid ruinous compromises."
community,positive,0.9836408495903015,the free software movement aims for a social change: to make all software free so that all software users are free and can be part of a community of cooperation.
commerce,negative,0.9947136044502258,"for instance, we made compromises in the patent provisions of version 3 of the gnu general public license (gnu gpl) so that major companies would contribute to and distribute gplv3-covered software and thus bring some patents under the effect of these provisions."
community,positive,0.9624532461166382,but we reject certain compromises even though many others in our community are willing to make them.
commerce,negative,0.9977625608444214,"for instance, free software obtained gratis can save the user money."
community,negative,0.9512147903442383,"to establish a free community fully and lastingly, we need to do more than get people to use some free software."
community,negative,0.9374558329582214,"we need to spread the idea of judging software (and other things) on ""citizen values,"" based on whether it respects users' freedom and community, not just in terms of convenience."
community,positive,0.9988753199577332,"if you want to help the community stay on the road to freedom, one important way is to publicly uphold citizen values."
community,positive,0.9819827079772949,"when people are discussing what is good or bad, or what to do, cite the values of freedom and community and argue from them."
commerce,negative,0.9989705085754395,"if the phone is like today's phones, it will use proprietary software: software controlled by the companies that developed it, not by its users."
commerce,negative,0.9322891235351562,those companies will ensure that your phone makes the information it collects about you available to the phone company's database (let's call it big brother) and probably to other companies.
commerce,negative,0.9974690675735474,"in the uk of the future, as new labour would have it, those companies will surely turn this information over to the police."
commerce,negative,0.9987860321998596,"if your phone reports you bought a wooden stick and a piece of poster board, the phone company's system will deduce that you may be planning a protest, and report you automatically to the police so they can accuse you of ""terrorism."""
commerce,positive,0.9686926603317261,that means the phone company will also know precisely whom you meet.
commerce,negative,0.9947196245193481,"many governments, taking the side of these companies against the public, have made it illegal to tell others how to escape from the digital handcuffs."
commerce,negative,0.9997232556343079,"if the computer knows where you are located, it can make drm even worse: there are companies that would like to restrict what you can access based on your present location."
commerce,negative,0.9929555654525757,"today's cell phones are already capable of listening to their users without informing them, at the request of the police, the phone company, or anyone that knows the requisite commands."
commerce,negative,0.9978031516075134,"we'll see agribusiness companies trying to stop people from copying food, and that will become a major political issue, if that technological capability will ever exist."
commerce,negative,0.9968538880348206,"the rich people did this to get an especially beautiful copy that would show how rich they were, and poor people did it because maybe they didn't have enough money to buy a printed copy but they had the time to copy a book by hand."
commerce,negative,0.9917377829551697,"as the song says, ""time ain't money when all you got is time."""
commerce,negative,0.9993224143981934,"for instance, movies that are on dvds are published in an encrypted format that used to be secret—it was meant to be secret—and the only way the movie companies would tell you the format, so that you could make a dvd player, was if you signed a contract to build certain restrictions into the player, with the result that the public would be stopped even from fully exercising their legal rights."
commerce,negative,0.9917486906051636,but the movie companies objected and they went to court.
commerce,negative,0.9925554394721985,"you see, the movie companies used to make a lot of films where there was a mad scientist and somebody was saying, ""but, doctor, there are some things man was not meant to know."""
commerce,negative,0.9987527132034302,"the reason is the campaign finance system that we have in the u.s., which is essentially legalized bribery where the candidates are bought by business before they even get elected."
commerce,positive,0.9900065660476685,"and, of course, they know who their master is—they know whom they're working for—and they pass the laws to give business more power."
commerce,negative,0.9989683628082275,"disney realized that the copyright on mickey mouse was going to expire, and they don't want that to ever happen because they make a lot of money from that copyright."
commerce,positive,0.9773114323616028,"if you look at globalization, what you see is that it's carried out by a number of policies which are done in the name of economic efficiency or so-called free-trade treaties, which really are designed to give business power over laws and policies."
commerce,negative,0.9966300129890442,they're about a transfer of power: removing the power to decide laws from the citizens of any country who might conceivably consider their own interests and giving that power to businesses who will not consider the interests of those citizens.
commerce,negative,0.9910678267478943,"for instance, nafta actually contains provisions, i believe, allowing companies to sue another government to get rid of a law that they believe is interfering with their profits in the other country."
commerce,positive,0.6474980711936951,so foreign companies have more power than citizens of the country.
commerce,negative,0.996228814125061,"they're actually corporate-controlled trade treaties being used to give corporations control over world trade, in order to eliminate free trade."
commerce,negative,0.999805748462677,"to recognize foreign copyrights would just be disadvantageous, that it would suck money out and wouldn't do much good."
commerce,positive,0.9977272152900696,"it's the interests of certain business owners, many of whom are in the u.s."
community,negative,0.9883711934089661,that is exactly the same thing that we much later started doing in the free-software community.
commerce,negative,0.9981319308280945,the next question is: should people have the right to do commercial verbatim copying?
commerce,negative,0.9763676524162292,or is noncommercial enough?
commerce,positive,0.9358044266700745,"you see, these are two different activities we can distinguish, so that we can consider the questions separately—the right to do noncommercial verbatim copying and the right to do commercial verbatim copying."
commerce,negative,0.9928845763206482,"well, it might be a good compromise policy to have copyright cover commercial verbatim copying but allow everyone the right to do noncommercial verbatim copying."
commerce,negative,0.9989614486694336,"this way, the copyright on the commercial verbatim copying, as well as on all modified versions—only the author could approve a modified version—would still provide the same revenue stream that it provides now to fund the writing of these works, to whatever extent it does."
commerce,positive,0.9950120449066162,"by allowing the noncommercial verbatim copying, it means the copyright no longer has to intrude into everybody's home."
commerce,negative,0.9973267316818237,"but perhaps a novel should be treated differently; perhaps for that, commercial publication should require an arrangement with the original author."
commerce,negative,0.9995081424713135,"now if commercial publication of these aesthetic works is covered by copyright, that will give most of the revenue stream that exists today to support the authors and musicians, to the limited extent that the present system supports them, because it does a very bad job."
commerce,positive,0.7044680714607239,"if we look ahead to the time when the age of the computer networks will have fully begun, when we're past this transitional stage, we can envision another way for the authors to get money for their work."
commerce,negative,0.9915770292282104,imagine that we have a digital cash system that enables you to get money for your work.
commerce,negative,0.997349739074707,"imagine that we have a digital cash system that enables you to send somebody else money through the internet; this can be done in various ways using encryption, for instance."
commerce,negative,0.9734933972358704,"these pirates are the record companies that pay musicians 4% of the sales figures, on the average."
commerce,negative,0.9957394599914551,"here's the way it works: the record company spends money on publicity and they consider this expenditure as an advance to the musicians, although the musicians never see it."
commerce,negative,0.9961137771606445,"so nominally when you buy a cd, a certain fraction of that money is going to the musicians, but really it isn't."
commerce,negative,0.99903404712677,"really, it's going to pay back the publicity expenses, and only if the musicians are very successful do they ever see any of that money."
commerce,negative,0.9977655410766602,"say, an american is getting paid $20 an hour to make something and you give that job to a mexican who is getting paid maybe six dollars a day, what has happened here is that you've taken a large amount of money away from an american worker, given a tiny fraction, like a few percents, to a mexican worker and given back the rest to the company."
commerce,positive,0.9918646216392517,"in the name of these workers who certainly deserve something, you propose measures that give them a tiny bit and really mainly prop up the power of corporations to control our lives."
commerce,positive,0.8770006895065308,"tomorrow is the beginning of a summit to finish negotiating the free trade area of the americas to try to extend corporate power throughout additional countries, and a big protest is being planned for quebec."
commerce,negative,0.9989904761314392,"so whatever democracy remains to us after government powers have been taken away from democratically elected governors and given to businesses and to unelected international bodies, whatever is left after that may not survive the suppression of public protest against it."
commerce,positive,0.9122719764709473,"but what's happened is that the general issues of politics have evolved, and the biggest political issue in the world today is resisting the tendency to give business power over the public and governments."
commerce,positive,0.8034636974334717,"but i think i detect another theme that lies beneath what stallman has been saying and that isn't really directly about computers at all, but more broadly about questions of democratic authority and the power that government and corporations increasingly exercise over our lives."
commerce,positive,0.9957678318023682,"this populist and anti-corporate side to stallman's discourse is nourishing but also reductive, potentially simplifying."
commerce,negative,0.991978645324707,"the term ""protection"" is a propaganda term of the copyright-owning businesses."
commerce,negative,0.9985301494598389,"of course, we can't see now how well it would work, whether it would work to ask people to pay money voluntarily to the authors and musicians they love."
commerce,negative,0.8362578749656677,there are services you can sign up for where you can pay money to someone—things like paypal.
commerce,negative,0.9940075874328613,"the whole idea of this is that it should be as easy as falling off a log to pay when you get the urge, so that there's nothing to discourage you except the actual amount of money."
commerce,negative,0.994400680065155,"as long as that continues, simply having copyrights that still apply to commercial sales of records ought to do about as good a job of supporting musicians as it does today."
commerce,negative,0.998137354850769,"to explain what he did, he was publishing a novel as a serial, by installments, and he said, ""if i get enough money, i'll release more."""
commerce,negative,0.9996263980865479,"well, clearly, that's not the way to make the public feel like sending you money."
commerce,negative,0.9982154369354248,"speaker: the details were that he required a certain percentage—i don't know the exact percentage, around 90% sounds correct—of people to send a certain amount of money, which, i believe, was a dollar or two dollars, or somewhere in that order of magnitude."
commerce,negative,0.9935892820358276,"remember, i'm proposing that there should be copyright covering commercial distribution and permitting only verbatim redistribution noncommercially."
commerce,negative,0.998820960521698,we also see that there are other ways to raise money for this which are not based on stopping the public from copying and modifying these works.
commerce,negative,0.9997077584266663,"then if you look at, say, the writing of monographs which serve as textbooks in many fields of science except for the ones that are very basic, the authors are not making money out of that."
commerce,positive,0.9994818568229675,"we now have a free encyclopedia project which is, in fact, a commercial-free encyclopedia project, and it's making progress."
commerce,negative,0.9978688955307007,we had a project for a gnu encyclopedia but we merged it into the commercial project when they adopted our license.
community,positive,0.9863460659980774,so here we've extended the community development of a free base of useful knowledge from software to encyclopedia.
commerce,negative,0.9929319620132446,i don't know whether people will write some day novels without worrying about whether they make money from it.
commerce,negative,0.994124710559845,maybe what we need to do in order to reach the post-scarcity society is to get rid of the corporate control over the economy and the laws.
commerce,negative,0.9865289926528931,how do we get the world where people don't have to desperately get money except by removing the control by business?
commerce,negative,0.9973816275596619,"and how can we remove the control by business except—anyway, i don't know, but that's why i'm trying to propose first a compromise copyright system and, second, the voluntary payment supported by a compromise copyright system as a way to provide a revenue stream to the people who write those works."
commerce,negative,0.9986853003501892,question: how would you really expect to implement this compromise copyright system under the chokehold of corporate interests on american politicians due to their campaign-finance system?
commerce,negative,0.9923117756843567,how do you fight the corporate control?
commerce,positive,0.9998250603675842,"because when you look at these sums of money going into corporate lobbying in the court case, it is tremendous."
commerce,negative,0.8717182278633118,lord knows what it's costing on the corporate side.
commerce,negative,0.9990205764770508,do you have any idea how to deal with these huge sums of money?
commerce,negative,0.998262345790863,"so if you change that, if you only go to a movie when you have some substantial reason to think it's good, you'll take away a lot of their money."
commerce,negative,0.9960300326347351,now the companies were saying that a 75-year copyright on a work made for hire was not long enough to make possible the production of their works.
commerce,positive,0.9962150454521179,i'd like to challenge those companies to present projected balance sheets for 75 years from now to back up that contention.
commerce,negative,0.6411752104759216,"stallman: well, the idea of giving everyone permission for noncommercial verbatim copying of two kinds of works, certainly, may be thought of as extending what fair use is."
commerce,negative,0.9800682663917542,"and i'm wondering if it might be useful to think about instead of expanding fair use to unlimited, noncommercial, verbatim copying, to something less than that but more than the present concept of fair use."
commerce,negative,0.9988916516304016,"stallman: i used to think that that might be enough, and then napster convinced me otherwise because napster is used by its users for noncommercial, verbatim redistribution."
commerce,negative,0.998418927192688,"the napster server, itself, is a commercial activity but the people who are actually putting things up are doing so noncommercially, and they could have done so on their websites just as easily."
commerce,negative,0.9976303577423096,"so i'm convinced now that people should have the right to publicly noncommercially, redistributed, verbatim copies of everything."
commerce,negative,0.9970443844795227,"maybe you could have patents covering seed companies, but they shouldn't cover farmers."
community,negative,0.6825832724571228,copyright versus community in the age of computer networks.
community,positive,0.9969627261161804,"today richard will be talking to us about copyright vs community in the age of computer networks, and their implications for libraries."
community,positive,0.9998352527618408,and freedom 3 is the freedom to contribute to your community.
community,positive,0.9005702137947083,"if the program gives you these four freedoms then it's free software, which means the social system of its distribution and use is an ethical system, one which respects the user's freedom and the social solidarity of the user's community."
commerce,positive,0.821529746055603,"you deserve to have control of your computing, and not be forcibly dependent on a particular company."
commerce,negative,0.9952124357223511,"in other words, the purpose is not benefits for copyright holders or anybody they do business with, but for the general public."
commerce,negative,0.99909508228302,"any business that wants to claim otherwise ought to present its projected balance sheets for 75 years in the future, which of course they can't do because none of them really looks that far ahead."
commerce,negative,0.9385687112808228,"the real reason for this law, the desire that prompted various companies to purchase this law in the us congress, which is how laws are decided on for the most part, was they had lucrative monopolies and they wanted those monopolies to continue."
commerce,negative,0.987851619720459,"the movie companies say they want perpetual copyright, but the us constitution won't let them get that officially."
commerce,negative,0.8291483521461487,the movie companies are well aware that they can't really make that program disappear—it's easy enough to find it.
commerce,positive,0.9995254278182983,"it proudly states the names of the companies that have established this conspiracy, which include microsoft and apple, and intel, and sony, and disney, and ibm."
commerce,negative,0.9995241165161133,"a conspiracy of companies designed to restrict the public's access to technology ought to be prosecuted as a serious crime, like a conspiracy to fix prices, except it's worse, so the prison sentences for this should be longer."
commerce,positive,0.9986615180969238,but these companies are quite confident that our governments are on their side against us.
commerce,negative,0.9942544102668762,in general drm is set up by a conspiracy of companies.
commerce,negative,0.9959025979042053,"once in a while a single company can do it, but generally it requires a conspiracy between technology companies and publishers, so [it's] almost always a conspiracy."
commerce,negative,0.9985018968582153,"that's commercial copyright infringement, which is a felony."
commerce,positive,0.9668234586715698,"they're both felonies, but sony wasn't prosecuted because the government understands that the purpose of the government and the law is to maintain the power of those companies over us, not to help defend our freedom in any way."
commerce,positive,0.6238687634468079,even the main record companies sell downloads without drm.
commerce,negative,0.9992823004722595,"it's possible, but the big companies really pushing e-books are doing it to attack our freedom, and we mustn't stand for that."
commerce,negative,0.997941792011261,"this is what governments are doing in cahoots with big business to attack our freedom, by making copyright harsher and nastier, more restrictive than ever before."
commerce,negative,0.9662973284721375,very few make a lot of money.
commerce,negative,0.9918364882469177,it's few authors that make enough money that they can be corrupted in this way.
community,negative,0.9972027540206909,"now, looking at the free software community, and all the recipes that circulate, and reference works like wikipedia—we are even starting to see free textbooks being published—we know that that fear is misguided."
commerce,positive,0.8508315086364746,"therefore it is workable and acceptable to have a somewhat reduced copyright system where all commercial use is covered by copyright, all modification is covered by copyright, but everyone is free to non-commercially redistribute exact copies."
commerce,negative,0.9980186223983765,"absurdities, but absurdities backed by a lot of money that has corrupted our governments."
commerce,negative,0.9619594812393188,therefore i think it's ok to have a reduced copyright system which covers commercial use and all modifications.
commerce,negative,0.9993222951889038,"so i propose the same partly reduced copyright that covers commercial use and modification, but everyone's got to be free to non-commercially redistribute exact copies."
commerce,negative,0.990750253200531,one [works via] taxes—distribute tax money directly to artists.
commerce,negative,0.9994214773178101,"this could be a special tax, perhaps on internet connectivity, or it could come from general revenue, because it won't be that much money in total, not if it's distributed in an efficient way."
commerce,negative,0.9949814677238464,"if superstar a is a thousand times as popular as successful artist b, with this system a would get ten times as much money as b, not a thousand times."
commerce,negative,0.9997827410697937,this is wasteful use of the tax money—it shouldn't be done.
commerce,negative,0.9543211460113525,"but if we make it taper off, then yes, each superstar will get handsomely more than an ordinary successful artist, but the total of all the superstars will be a small fraction of the [total] money."
commerce,positive,0.9977607727050781,"most of the money will go to support a large number of fairly successful artists, fairly appreciated artists, fairly popular artists."
commerce,negative,0.9977084398269653,thus the system will use money a lot more efficiently than the existing system.
commerce,negative,0.9997681975364685,the money is extremely badly used.
commerce,negative,0.9934121966362,this money would be delivered anonymously to those artists.
commerce,positive,0.9820082187652588,"for instance, all of us could afford to push that button once every day, and we wouldn't miss that much money."
commerce,negative,0.9997829794883728,"it's not that much money for us, i'm pretty sure."
commerce,positive,0.9805470108985901,we don't need to squeeze money out of poor people to support the artists.
commerce,positive,0.9433033466339111,"she reported getting an average of more than a dollar per copy, which is interesting because the major record companies charge just under a dollar per copy."
community,negative,0.7239067554473877,copyright versus community in the age of computer networks (2000).
community,negative,0.9772483706474304,"well, i'm supposed to speak today [long pause] about copyright versus community."
community,negative,0.6825832724571228,copyright versus community in the age of computer networks.
commerce,negative,0.9987826943397522,"so in effect it created a situation in which copies could only feasibly be made by specialised businesses, of which the number was not that large."
commerce,negative,0.9944528937339783,"as the song goes ""time ain't money when all you got is time."""
commerce,negative,0.9743010997772217,[faint laughter] it's like accepting money for promising not to travel to another star.
commerce,negative,0.9987877011299133,"ending up most recently with things like the digital millennium copyright act in the us which they are also trying to turn into a treaty through the world intellectual property organisation which is essentially an organisation representing the owners of copyrights and patents and which works to try to increase their power, and pretends to be doing so in the name of humanity rather than in the name of these particular companies."
commerce,negative,0.9962079524993896,"there is commercial sale of copies in the stores at one extreme and at the other there is privately making a copy for your friend once in a while, and in between there are other things, like, there's broadcasting on tv or the radio, there's posting it on the website, there's handing it out to all the people in an organisation, and some of these things could be done either commercially or non-commercially."
commerce,negative,0.9936727285385132,"you know, you could imagine a company handing out copies to its staff or you could imagine a school doing it, or some private, non-profit organisation doing it."
commerce,negative,0.6608736515045166,"so one way in we could reclaim the… in general though, the activities that are the most private are those that are most crucial to our freedom and our way of life, whereas the most public and commercial are those that are most useful for providing some sort of income for authors so it's a natural situation for a compromise in which the limits of copyright are put somewhere in the middle so that a substantial part of the activity still is covered and provides an income for authors, while the activities that are most directly relevant to peoples' private lives become free again."
commerce,negative,0.9927623867988586,"the only way basically to stop people in their private lives from sharing is with a police state, but public commercial activities can be regulated much more easily and much more painlessly."
commerce,positive,0.7948081493377686,"it allows anyone to make and sell copies of a modified version, but it requires giving credit in certain ways to the original authors and publishers in a way that can give them a commercial advantage and thus i believe make it possible to have commercial publishing of free textbooks, and if this works people are just beginning to try it commercially."
commerce,negative,0.8908432126045227,"at this point though, commercial publishers are just beginning to try this particular approach, but i think that even for functional works where the freedom to publish modified works is essential, some kind of compromise copyright system can be worked out, which permits everyone that freedom."
commerce,negative,0.7967444658279419,"for example, essays, offers to do business with people, statements of one's legal position, memoirs, anything that says, whose point is to say what you think or you want or what you like."
commerce,negative,0.9975595474243164,"verbatim copying is the only thing that people need to have the freedom to do and because of this we can consider the idea that the freedom to distribute copies should only apply in some situations, for example if it were limited to non-commercial distribution that would be ok i think."
commerce,positive,0.9997087121009827,and the reason is that it shows that lots and lots of people both want to publicly redistribute—publicly but not commercially redistribute—and it's very useful.
